rank,ChineseName,originalName,rating,votes
124,7号房的礼物,7번방의 선물,8.8,261871
125,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.7,295797
126,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,8.7,400432
127,神偷奶爸,Despicable Me,8.5,548476
128,萤火之森,蛍火の杜へ,8.8,246063
129,唐伯虎点秋香,唐伯虎點秋香,8.5,517828
130,超能陆战队,Big Hero 6,8.6,538981
131,何以为家,كفرناحوم,9.0,232982
132,怪兽电力公司,"Monsters, Inc.",8.6,348220
133,无人知晓,誰も知らない,9.1,123885
134,岁月神偷,歲月神偷,8.7,385035
135,电锯惊魂,Saw,8.7,275383
136,七武士,七人の侍,9.2,105646
137,谍影重重3,The Bourne Ultimatum,8.8,246050
138,真爱至上,Love Actually,8.6,419788
139,疯狂原始人,The Croods,8.7,499925
140,喜宴,囍宴,8.9,188929
141,英雄本色,英雄本色,8.7,263386
142,东邪西毒,東邪西毒,8.6,349897
143,血战钢锯岭,Hacksaw Ridge,8.7,454165
144,萤火虫之墓,火垂るの墓,8.7,263136
145,贫民窟的百万富翁,Slumdog Millionaire,8.5,487119
146,黑天鹅,Black Swan,8.5,535135
147,记忆碎片,Memento,8.6,363545
148,傲慢与偏见,Pride &amp; Prejudice,8.5,413909
149,时空恋旅人,About Time,8.7,290589
150,心迷宫,心迷宫,8.7,264195
151,海蒂和爷爷,Heidi,9.1,117198
152,纵横四海,緃横四海,8.8,216719
153,荒蛮故事,Relatos salvajes,8.8,213529
154,教父3,The Godfather: Part III,8.8,184092
155,雨人,Rain Man,8.7,260961
156,达拉斯买家俱乐部,Dallas Buyers Club,8.7,255895
157,完美的世界,A Perfect World,9.1,116839
158,玩具总动员3,Toy Story 3,8.8,257738
159,花样年华,花樣年華,8.6,326391
160,卢旺达饭店,Hotel Rwanda,8.9,156880
161,海边的曼彻斯特,Manchester by the Sea,8.6,285188
162,被解救的姜戈,Django Unchained,8.6,344352
